id,name,category,type,modifyer,color
LEFT_ADRENAL_GLAND,Left adrenal gland,123037004,23451007,7771000,"199,27,27"
RIGHT_ADRENAL_GLAND,Right adrenal gland,123037004,23451007,24028007,"199,27,27"
AORTA,Aorta,123037004,15825003,,"224,97,76"
LEFT_AUTOCHTHONOUS_BACK_MUSCLE,Left autochthonous back muscle,85756007,71616004,,"192,104,88"
RIGHT_AUTOCHTHONOUS_BACK_MUSCLE,Right autochthonous back muscle,85756007,71616004,,"192,104,88"
BRAIN,Brain,123037004,12738006,,"250,250,225"
LEFT_CLAVICLE,Left clavicle,123037004,51299004,7771000,"241,188,38"
RIGHT_CLAVICLE,Right clavicle,123037004,51299004,24028007,"241,188,38"
COLON,Colon,123037004,71854001,,"204,168,143"
DUODENUM,Duodenum,123037004,38848004,,"255,253,229"
ESOPHAGUS,Esophagus,123037004,32849002,,"211,171,143"
FACE,Face,123037004,89545001,,
LEFT_FEMUR,Left femur,123037004,71341001,7771000,"130,222,207"
RIGHT_FEMUR,Right femur,123037004,71341001,24028007,"130,222,207"
GALLBLADDER,Gallbladder,123037004,28231008,,"139,150,98"
LEFT_GLUTEUS_MAXIMUS,Left gluteus maximus,85756007,71616004,,"192,104,88"
RIGHT_GLUTEUS_MAXIMUS,Right gluteus maximus,85756007,71616004,,"192,104,88"
LEFT_GLUTEUS_MEDIUS,Left gluteus medius,85756007,71616004,,"192,104,88"
RIGHT_GLUTEUS_MEDIUS,Right gluteus medius,85756007,71616004,,"192,104,88"
LEFT_GLUTEUS_MINIMUS,Left gluteus minimus,85756007,71616004,,"192,104,88"
RIGHT_GLUTEUS_MINIMUS,Right gluteus minimus,85756007,71616004,,"192,104,88"
LEFT_ATRIUM,Left atrium,123037004,59652004,7771000,"193,156,49"
RIGHT_ATRIUM,Right atrium,123037004,59652004,24028007,"193,156,49"
MYOCARDIUM,Myocardium,85756007,71616004,,"192,104,88"
LEFT_VENTRICLE,Left ventricle,123037004,87878005,,"152,55,13"
RIGHT_VENTRICLE,Right ventricle,123037004,53085002,,"181,85,57"
LEFT_HIP,Left hip,85756007,272673000,,"241,214,145"
RIGHT_HIP,Right hip,85756007,272673000,,"241,214,145"
LEFT_HUMERUS,Left humerus,123037004,85050009,7771000,"95,229,185"
RIGHT_HUMERUS,Right humerus,123037004,85050009,24028007,"95,229,185"
LEFT_ILIAC_ARTERY,Left iliac artery,123037004,73634005,7771000,"217,162,48"
RIGHT_ILIAC_ARTERY,Right iliac artery,123037004,73634005,24028007,"217,162,48"
LEFT_ILIAC_VEIN,Left iliac vein,123037004,46027005,7771000,"197,174,37"
RIGHT_ILIAC_VEIN,Right iliac vein,123037004,46027005,24028007,"197,174,37"
LEFT_ILIOPSOAS,Left iliopsoas,85756007,71616004,,"192,104,88"
RIGHT_ILIOPSOAS,Right iliopsoas,85756007,71616004,,"192,104,88"
INFERIOR_VENA_CAVA,Inferior vena cava,123037004,64131007,,"110,165,54"
LEFT_KIDNEY,Left kidney,123037004,64033007,7771000,"212,126,151"
RIGHT_KIDNEY,Right kidney,123037004,64033007,24028007,"212,126,151"
LIVER,Liver,123037004,10200004,,"221,130,101"
LEFT_LOWER_LUNG_LOBE,Left lower lung lobe,123037004,90572001,7771000,"242,150,232"
RIGHT_LOWER_LUNG_LOBE,Right lower lung lobe,123037004,90572001,24028007,"117,212,208"
RIGHT_MIDDLE_LUNG_LOBE,Right middle lung lobe,123037004,72481006,,"202,164,140"
LEFT_UPPER_LUNG_LOBE,Left upper lung lobe,123037004,45653009,7771000,"112,162,95"
RIGHT_UPPER_LUNG_LOBE,Right upper lung lobe,123037004,45653009,24028007,"173,69,44"
PANCREAS,Pancreas,123037004,15776009,,"249,180,111"
PORTAL_AND_SPLENIC_VEIN,Portal and splenic vein,85756007,29092000,,"0,151,206"
PULMONARY_ARTERY,Pulmonary artery,123037004,81040000,,"0,122,171"
LEFT_RIB_10,Left rib 10,85756007,272673000,,"241,214,145"
LEFT_RIB_11,Left rib 11,85756007,272673000,,"241,214,145"
LEFT_RIB_12,Left rib 12,85756007,272673000,,"241,214,145"
LEFT_RIB_1,Left rib 1,85756007,272673000,,"241,214,145"
LEFT_RIB_2,Left rib 2,85756007,272673000,,"241,214,145"
LEFT_RIB_3,Left rib 3,85756007,272673000,,"241,214,145"
LEFT_RIB_4,Left rib 4,85756007,272673000,,"241,214,145"
LEFT_RIB_5,Left rib 5,85756007,272673000,,"241,214,145"
LEFT_RIB_6,Left rib 6,85756007,272673000,,"241,214,145"
LEFT_RIB_7,Left rib 7,85756007,272673000,,"241,214,145"
LEFT_RIB_8,Left rib 8,85756007,272673000,,"241,214,145"
LEFT_RIB_9,Left rib 9,85756007,272673000,,"241,214,145"
RIGHT_RIB_10,Right rib 10,85756007,272673000,,"241,214,145"
RIGHT_RIB_11,Right rib 11,85756007,272673000,,"241,214,145"
RIGHT_RIB_12,Right rib 12,85756007,272673000,,"241,214,145"
RIGHT_RIB_1,Right rib 1,85756007,272673000,,"241,214,145"
RIGHT_RIB_2,Right rib 2,85756007,272673000,,"241,214,145"
RIGHT_RIB_3,Right rib 3,85756007,272673000,,"241,214,145"
RIGHT_RIB_4,Right rib 4,85756007,272673000,,"241,214,145"
RIGHT_RIB_5,Right rib 5,85756007,272673000,,"241,214,145"
RIGHT_RIB_6,Right rib 6,85756007,272673000,,"241,214,145"
RIGHT_RIB_7,Right rib 7,85756007,272673000,,"241,214,145"
RIGHT_RIB_8,Right rib 8,85756007,272673000,,"241,214,145"
RIGHT_RIB_9,Right rib 9,85756007,272673000,,"241,214,145"
SACRUM,Sacrum,123037004,54735007,,"163,140,140"
LEFT_SCAPULA,Left scapula,123037004,79601000,7771000,"199,204,131"
RIGHT_SCAPULA,Right scapula,123037004,79601000,24028007,"199,204,131"
SMALL_INTESTINE,Small intestine,123037004,30315005,,"205,167,142"
SPLEEN,Spleen,123037004,78961009,,"157,108,162"
STOMACH,Stomach,123037004,69695003,,"216,132,105"
TRACHEA,Trachea,123037004,44567001,,"182,228,255"
URINARY_BLADDER,Urinary bladder,123037004,89837001,,"222,154,132"
VERTEBRAE_C1,Vertebrae C1,85756007,272673000,,"241,214,145"
VERTEBRAE_C2,Vertebrae C2,85756007,272673000,,"241,214,145"
VERTEBRAE_C3,Vertebrae C3,85756007,272673000,,"241,214,145"
VERTEBRAE_C4,Vertebrae C4,85756007,272673000,,"241,214,145"
VERTEBRAE_C5,Vertebrae C5,85756007,272673000,,"241,214,145"
VERTEBRAE_C6,Vertebrae C6,85756007,272673000,,"241,214,145"
VERTEBRAE_C7,Vertebrae C7,85756007,272673000,,"241,214,145"
VERTEBRAE_L1,Vertebrae L1,85756007,272673000,,"241,214,145"
VERTEBRAE_L2,Vertebrae L2,85756007,272673000,,"241,214,145"
VERTEBRAE_L3,Vertebrae L3,85756007,272673000,,"241,214,145"
VERTEBRAE_L4,Vertebrae L4,85756007,272673000,,"241,214,145"
VERTEBRAE_L5,Vertebrae L5,85756007,272673000,,"241,214,145"
VERTEBRAE_T10,Vertebrae T10,85756007,272673000,,"241,214,145"
VERTEBRAE_T11,Vertebrae T11,85756007,272673000,,"241,214,145"
